№ п/п,Наименование / ФИО,Тип субъекта,Категория,ОГРН,ИНН,Основной вид деятельности,Регион,Район,Город,Населенный пункт,Вновь созданный,Дата включения в реестр,Дата исключения из реестра,Телефон,E-mail,WWW,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Участие в программах партнерства,Является социальным предприятием,Среднесписочная численность работников за предшествующий календарный год
1,""" МЕГАПОЛИС "" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1027800523376,7801190028,41.2 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,01.08.2016,10.10.2021,,,,Нет,Нет,Нет,Нет,Нет,
2,""" СТАЛЬИНВЕСТСТРОЙ "" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1037800033545,7801227976,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,01.08.2016,10.08.2018,,,,Нет,Нет,Нет,Нет,Нет,
3,""" СТРОЙТЕХНИКА - М "" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1025204418293,5263039399,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,,г Нижний Новгород,,Нет,01.08.2016,10.07.2022,,,,Нет,Нет,Нет,Нет,Нет,
4,"""БАЗИС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Микропредприятие,1025204411682,5263025484,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,,г Нижний Новгород,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,1.0
5,"""БЕЛАГ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1037800039276,7801123215,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,10.08.2020,10.07.2021,,,,Нет,Нет,Нет,Нет,Нет,
6,"""БЕРЕГ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Микропредприятие,1035010950633,5056003490,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Люберцы,дп Красково,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,2.0
7,"""БРИГ-С"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Микропредприятие,1022501801343,2537042746,41.20 Строительство жилых и нежилых зданий,25 - Приморский край,,г Владивосток,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,1.0
8,"""ВИВО"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1037800022842,7801201350,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,01.08.2016,10.05.2020,,,,Нет,Нет,Нет,Нет,Нет,
9,"""ВИРАЖ-2000"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Микропредприятие,1022501797768,2537036693,41.20 Строительство жилых и нежилых зданий,25 - Приморский край,,г Владивосток,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,3.0
10,"""ВОССТАНОВЛЕНИЕ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1025204410307,5263011749,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,,г Нижний Новгород,,Нет,01.08.2016,10.04.2023,,,,Нет,Нет,Нет,Нет,Нет,
11,"""ВОСТОКЮНИСТРОЙ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1022501800012,2537063471,41.20 Строительство жилых и нежилых зданий,25 - Приморский край,,г Владивосток,,Нет,01.08.2016,10.08.2017,,,,Нет,Нет,Нет,Нет,Нет,
12,"""ГАРАЖНЫЙ СПЕЦИАЛИЗИРОВАННЫЙ ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""ПРОГРЕСС""",Юридическое лицо,Не является субъектом МСП,1046603496741,6670054644,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,,ГОРОД ЕКАТЕРИНБУРГ,,Нет,10.09.2016,10.08.2017,,,,Нет,Нет,Нет,Нет,Нет,
13,"""ГЛАСБРОКСЕРВИС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1042503451726,2537010536,41.2 Строительство жилых и нежилых зданий,25 - Приморский край,,ГОРОД ВЛАДИВОСТОК,,Нет,01.08.2016,10.08.2017,,,,Нет,Нет,Нет,Нет,Нет,
14,"""ДОКАСТР"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Микропредприятие,1032501797305,2537045144,41.20 Строительство жилых и нежилых зданий,25 - Приморский край,,г Владивосток,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,1.0
15,"""ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""ТОВАРИЩЕСТВО МУНИЦИПАЛЬНЫХ ЗАСТРОЙЩИКОВ-1""",Юридическое лицо,Микропредприятие,1069606006656,6606022437,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,,г Верхняя Пышма,,Нет,10.09.2016,,,,,Нет,Нет,Нет,Нет,Нет,
16,"""ЗАПАДНО-СИБИРСКОЕ ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО""",Юридическое лицо,Микропредприятие,1028601680260,8617015322,41.20 Строительство жилых и нежилых зданий,86 - Ханты-Мансийский автономный округ - Югра,Сургутский р-н,,пгт Федоровский,Нет,10.09.2016,,,,,Нет,Нет,Нет,Нет,Нет,
17,"""ИНКОРПОРЕЙШЕН"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1057746852404,7728547426,41.2 Строительство жилых и нежилых зданий,77 - г.Москва,,,,Нет,01.08.2016,10.08.2019,,,,Нет,Нет,Нет,Нет,Нет,
